No,Date,PlayerName,WinLose,1st2nd,Opponent,Game
1,,豊島将之,,,永瀬拓矢,第5期叡王戦 タイトル戦 第1局
2,,豊島将之,,,永瀬拓矢,第5期叡王戦 タイトル戦 第2局
3,20200516,豊島将之,,,永瀬拓矢,第5期叡王戦 タイトル戦 第3局
4,20200516,豊島将之,,,永瀬拓矢,第5期叡王戦 タイトル戦 第4局
5,,豊島将之,,,渡辺明,第78期名人戦 タイトル戦 第1局
6,,豊島将之,,,渡辺明,第78期名人戦 タイトル戦 第2局
7,,豊島将之,,,渡辺明,第78期名人戦 タイトル戦 第3局
8,20200519,豊島将之,,,渡辺明,第78期名人戦 タイトル戦 第4局
9,20200523,豊島将之,,,永瀬拓矢,第5期叡王戦 タイトル戦 第5局
10,20200527,豊島将之,,,渡辺明,第78期名人戦 タイトル戦 第5局
11,20200607,豊島将之,,,永瀬拓矢,第5期叡王戦 タイトル戦 第6局
12,20200610,豊島将之,,,渡辺明,第78期名人戦 タイトル戦 第6局
13,20200618,豊島将之,,,渡辺明,第78期名人戦 タイトル戦 第7局
14,20200621,豊島将之,,,永瀬拓矢,第5期叡王戦 タイトル戦 第7局
15,20200806,豊島将之,,,,第28期銀河戦 Hブロック 11回戦
16,,豊島将之,,後,佐々木大地,第61期王位戦 紅組 5回戦
17,,豊島将之,,,,第68期王座戦 本戦
18,,豊島将之,,,,第70期王将戦 挑戦者決定リーグ戦
19,,豊島将之,,,,第70回NHK杯戦 本戦 2回戦
