No,Date,PlayerName,WinLose,1st2nd,Opponent,Game
1,20170404,藤井聡太,Win,後,小林裕士,第67期王将戦 一次予選 2回戦
2,20170413,藤井聡太,Win,先,星野良生,第30期竜王戦 ６組 ランキング戦 4回戦
3,20170417,藤井聡太,Win,後,千田翔太,第67回NHK杯戦 本戦 1回戦
4,20170426,藤井聡太,Win,後,平藤眞吾,第43期棋王戦 予選 4回戦
5,20170501,藤井聡太,Win,後,金井恒太,第30期竜王戦 ６組 ランキング戦 準決勝
6,20170504,藤井聡太,Win,後,,第48期新人王戦 本戦 3回戦
7,20170512,藤井聡太,Win,後,西川和宏,第67期王将戦 一次予選 3回戦
8,20170518,藤井聡太,Win,後,竹内雄悟,第7期青流戦 本戦 2回戦
9,20170525,藤井聡太,Win,後,近藤誠也,第30期竜王戦 ６組 ランキング戦 決勝
10,20170602,藤井聡太,Win,先,澤田真吾,第43期棋王戦 予選 決勝
11,20170607,藤井聡太,Win,先,都成竜馬,第2回チャレンジ 本戦 1回戦
12,20170607,藤井聡太,Win,先,阪口悟,第2回チャレンジ 本戦 2回戦
13,20170607,藤井聡太,Win,先,宮本広志,第2回チャレンジ 本戦 3回戦
14,20170610,藤井聡太,Win,後,梶浦宏孝,第3期叡王戦 四段戦 2回戦
15,20170610,藤井聡太,Win,後,都成竜馬,第3期叡王戦 四段戦 3回戦
16,20170615,藤井聡太,Win,後,瀬川晶司,第76期順位戦 Ｃ級２組 1回戦
17,20170617,藤井聡太,Win,後,,第11回朝日杯 一次予選 1回戦
18,20170621,藤井聡太,Win,先,澤田真吾,第67期王将戦 一次予選 4回戦
19,20170626,藤井聡太,Win,先,増田康宏,第30期竜王戦 本戦 1回戦
20,20170702,藤井聡太,Lose,後,佐々木勇気,第30期竜王戦 本戦 2回戦
21,20170706,藤井聡太,Win,先,中田功,第76期順位戦 Ｃ級２組 2回戦
22,20170711,藤井聡太,Win,後,都成竜馬,第7期青流戦 本戦 3回戦
23,20170721,藤井聡太,Lose,後,三枚堂達也,第2回チャレンジ 本戦 準々決勝
24,20170724,藤井聡太,Win,先,西川慶二,第89期棋聖戦 一次予選 1回戦
25,20170724,藤井聡太,Win,後,阪口悟,第89期棋聖戦 一次予選 2回戦
26,20170727,藤井聡太,Win,先,平藤眞吾,第26期銀河戦 予選 決勝
27,20170804,藤井聡太,Lose,後,菅井竜也,第67期王将戦 一次予選 決勝
28,20170810,藤井聡太,Win,後,髙見泰地,第76期順位戦 Ｃ級２組 3回戦
29,20170815,藤井聡太,Win,後,小林健二,第59期王位戦 予選 1回戦
30,20170822,藤井聡太,Win,後,大石直嗣,第11回朝日杯 一次予選 2回戦
31,20170822,藤井聡太,Win,後,竹内雄悟,第11回朝日杯 一次予選 3回戦
32,20170824,藤井聡太,Lose,後,豊島将之,第43期棋王戦 本戦 2回戦
33,20170902,藤井聡太,Lose,後,井出隼平,第7期青流戦 本戦 準々決勝
34,20170903,藤井聡太,Win,後,森内俊之,第67回NHK杯戦 本戦 2回戦
35,20170907,藤井聡太,Lose,後,佐々木大地,第48期新人王戦 本戦 準々決勝
36,20170914,藤井聡太,Win,先,佐藤慎一,第76期順位戦 Ｃ級２組 4回戦
37,20170920,藤井聡太,Win,先,小林健二,第66期王座戦 一次予選 2回戦
38,20170922,藤井聡太,Win,先,藤倉勇樹,第26期銀河戦 Hブロック 1回戦
39,20170922,藤井聡太,Lose,先,上村亘,第26期銀河戦 Hブロック 2回戦
40,20170927,藤井聡太,Win,後,竹内雄悟,第89期棋聖戦 一次予選 3回戦
41,20171006,藤井聡太,Win,先,宮本広志,第11回朝日杯 一次予選 決勝
42,20171009,藤井聡太,Win,後,佐々木大地,第3期叡王戦 四段戦 4回戦
43,20171009,藤井聡太,Win,先,杉本和陽,第3期叡王戦 四段戦 決勝
44,20171012,藤井聡太,Win,後,星野良生,第76期順位戦 Ｃ級２組 5回戦
45,20171019,藤井聡太,Win,後,小林裕士,第59期王位戦 予選 2回戦
46,20171102,藤井聡太,Win,後,脇謙二,第76期順位戦 Ｃ級２組 6回戦
47,20171121,藤井聡太,Win,後,平藤眞吾,第66期王座戦 一次予選 3回戦
48,20171124,藤井聡太,Win,先,北浜健介,第59期王位戦 予選 3回戦
49,20171129,藤井聡太,Lose,先,大橋貴洸,第89期棋聖戦 一次予選 決勝
50,20171207,藤井聡太,Win,先,髙野智史,第76期順位戦 Ｃ級２組 7回戦
51,20171210,藤井聡太,Lose,後,稲葉陽,第67回NHK杯戦 本戦 3回戦
52,20171215,藤井聡太,Win,後,屋敷伸之,第11回朝日杯 二次予選 1回戦
53,20171215,藤井聡太,Win,後,松尾歩,第11回朝日杯 二次予選 決勝
54,20171223,藤井聡太,Lose,先,深浦康市,第3期叡王戦 本戦 1回戦
55,20171228,藤井聡太,Win,先,豊川孝弘,第66期王座戦 一次予選 4回戦
56,20180106,藤井聡太,Lose,先,大橋貴洸,第59期王位戦 予選 4回戦
57,20180111,藤井聡太,Win,後,中田功,第31期竜王戦 ５組 ランキング戦 1回戦
58,20180114,藤井聡太,Win,後,澤田真吾,第11回朝日杯 本戦 1回戦
59,20180114,藤井聡太,Win,先,佐藤天彦,第11回朝日杯 本戦 2回戦
60,20180119,藤井聡太,Win,先,矢倉規広,第76期順位戦 Ｃ級２組 8回戦
61,20180125,藤井聡太,Win,先,村田智弘,第66期王座戦 一次予選 決勝
62,20180201,藤井聡太,Win,後,梶浦宏孝,第76期順位戦 Ｃ級２組 9回戦
63,20180205,藤井聡太,Win,後,南芳一,第68期王将戦 一次予選 1回戦
64,20180208,藤井聡太,Win,後,牧野光則,第44期棋王戦 予選 2回戦
65,20180214,藤井聡太,Win,先,古森悠太,第49期新人王戦 本戦 2回戦
66,20180217,藤井聡太,Win,先,羽生善治,第11回朝日杯 本戦 準決勝
67,20180217,藤井聡太,Win,先,広瀬章人,第11回朝日杯 本戦 決勝
68,20180223,藤井聡太,Win,後,畠山鎮,第66期王座戦 二次予選 2回戦
69,20180301,藤井聡太,Win,先,阿部隆,第31期竜王戦 ５組 ランキング戦 2回戦
70,20180308,藤井聡太,Win,先,杉本昌隆,第68期王将戦 一次予選 2回戦
71,20180315,藤井聡太,Win,先,三枚堂達也,第76期順位戦 Ｃ級２組 10回戦
72,20180322,藤井聡太,Win,先,糸谷哲郎,第66期王座戦 二次予選 決勝
73,20180328,藤井聡太,Lose,後,井上慶太,第68期王将戦 一次予選 3回戦
