No,Date,PlayerName,WinLose,1st2nd,Opponent,Game
1,20190410,豊島将之,Draw,後,佐藤天彦,第77期名人戦 タイトル戦 第1局
2,20190411,豊島将之,Win,先,佐藤天彦,第77期名人戦 タイトル戦 第1局指直し
3,20190416,豊島将之,Win,後,山崎隆之,第32期竜王戦 １組 ４位決定戦 1回戦
4,20190422,豊島将之,Win,先,佐藤天彦,第77期名人戦 タイトル戦 第2局
5,20190507,豊島将之,Win,後,佐藤天彦,第77期名人戦 タイトル戦 第3局
6,20190516,豊島将之,Win,先,佐藤天彦,第77期名人戦 タイトル戦 第4局
7,20190520,豊島将之,Win,後,稲葉陽,第32期竜王戦 １組 ４位決定戦 決勝
8,20190523,豊島将之,Win,先,藤井聡太,第27期銀河戦 Eブロック 11回戦
9,20190529,豊島将之,Win,先,横山泰明,第67期王座戦 本戦 1回戦
10,20190604,豊島将之,Win,後,渡辺明,第90期棋聖戦 タイトル戦 第1局
11,20190619,豊島将之,Lose,先,渡辺明,第90期棋聖戦 タイトル戦 第2局
12,20190621,豊島将之,Win,先,八代弥,第27期銀河戦 決勝T 1回戦
13,20190625,豊島将之,Win,後,渡辺明,第67期王座戦 本戦 2回戦
14,20190629,豊島将之,Lose,後,渡辺明,第90期棋聖戦 タイトル戦 第3局
15,20190703,豊島将之,Win,先,木村一基,第60期王位戦 タイトル戦 第1局
16,20190709,豊島将之,Lose,先,渡辺明,第90期棋聖戦 タイトル戦 第4局
17,20190712,豊島将之,Win,後,羽生善治,第67期王座戦 本戦 準決勝
18,20190719,豊島将之,Win,先,髙見泰地,第27期銀河戦 決勝T 2回戦
19,20190723,豊島将之,Win,後,藤井聡太,第32期竜王戦 本戦 準々決勝
20,20190725,豊島将之,Lose,後,永瀬拓矢,第67期王座戦 本戦 決勝
21,20190727,豊島将之,Win,後,増田康宏,第27期銀河戦 決勝T 準決勝
22,20190730,豊島将之,Win,後,木村一基,第60期王位戦 タイトル戦 第2局
23,20190802,豊島将之,Win,先,渡辺明,第32期竜王戦 本戦 準決勝
24,20190808,豊島将之,Lose,先,木村一基,第60期王位戦 タイトル戦 第3局
25,20190813,豊島将之,Win,後,木村一基,第32期竜王戦 挑戦者決定戦 第1局
26,20190816,豊島将之,Win,後,渡辺明,第27期銀河戦 決勝T 決勝
27,20190820,豊島将之,Lose,後,木村一基,第60期王位戦 タイトル戦 第4局
28,20190823,豊島将之,Lose,先,木村一基,第32期竜王戦 挑戦者決定戦 第2局
29,20190827,豊島将之,Win,先,木村一基,第60期王位戦 タイトル戦 第5局
30,20190902,豊島将之,Lose,後,村山慈明,第45期棋王戦 本戦 2回戦
31,20190905,豊島将之,Win,先,木村一基,第32期竜王戦 挑戦者決定戦 第3局
32,20190909,豊島将之,Lose,後,木村一基,第60期王位戦 タイトル戦 第6局
33,20190915,豊島将之,Win,先,村山慈明,第69回NHK杯戦 本戦 2回戦
34,20190918,豊島将之,Win,後,久保利明,第69期王将戦 挑戦者決定リーグ戦 1回戦
35,20190921,豊島将之,Lose,後,三浦弘行,第40回日本シリーズ 本戦 2回戦
36,20190925,豊島将之,Lose,先,木村一基,第60期王位戦 タイトル戦 第7局
37,20191003,豊島将之,Lose,後,広瀬章人,第69期王将戦 挑戦者決定リーグ戦 4回戦
38,20191007,豊島将之,Win,先,藤井聡太,第69期王将戦 挑戦者決定リーグ戦 2回戦
39,20191011,豊島将之,Win,先,広瀬章人,第32期竜王戦 タイトル戦 第1局
40,20191016,豊島将之,Lose,先,羽生善治,第69期王将戦 挑戦者決定リーグ戦 3回戦
41,20191023,豊島将之,Win,後,広瀬章人,第32期竜王戦 タイトル戦 第2局
42,20191104,豊島将之,Win,先,三浦弘行,第69期王将戦 挑戦者決定リーグ戦 6回戦
43,20191109,豊島将之,Win,先,広瀬章人,第32期竜王戦 タイトル戦 第3局
44,20191115,豊島将之,Win,後,糸谷哲郎,第69期王将戦 挑戦者決定リーグ戦 5回戦
45,20191121,豊島将之,Lose,後,広瀬章人,第32期竜王戦 タイトル戦 第4局
46,20191201,豊島将之,Win,先,千田翔太,第5期叡王戦 本戦 2回戦
47,20191206,豊島将之,Win,先,広瀬章人,第32期竜王戦 タイトル戦 第5局
48,20191215,豊島将之,Lose,後,斎藤慎太郎,第69回NHK杯戦 本戦 3回戦
49,20191226,豊島将之,Win,先,藤井猛,第5期叡王戦 本戦 準々決勝
50,20200118,豊島将之,Lose,後,深浦康市,第13回朝日杯 本戦 1回戦
51,20200127,豊島将之,Win,後,佐々木大地,第5期叡王戦 本戦 準決勝
52,20200206,豊島将之,Lose,先,渡辺明,第5期叡王戦 本戦 決勝 第1局
53,20200213,豊島将之,Win,後,渡辺明,第5期叡王戦 本戦 決勝 第2局
54,20200220,豊島将之,Win,後,本田奎,第61期王位戦 紅組 1回戦
55,20200224,豊島将之,Win,先,渡辺明,第5期叡王戦 本戦 決勝 第3局
56,20200304,豊島将之,Lose,後,永瀬拓矢,第61期王位戦 紅組 3回戦
57,20200313,豊島将之,Win,先,佐藤秀司,第61期王位戦 紅組 2回戦
58,20200317,豊島将之,Lose,後,永瀬拓矢,第91期棋聖戦 本戦 1回戦
59,20200323,豊島将之,Win,先,鈴木大介,第61期王位戦 紅組 4回戦
