No,Date,PlayerName,WinLose,1st2nd,Opponent,Game
1,20190412,藤井聡太,Win,後,森内俊之,第69期王将戦 一次予選 3回戦
2,20190419,藤井聡太,Win,先,行方尚史,第27期銀河戦 Eブロック 9回戦
3,20190419,藤井聡太,Win,先,阿久津主税,第27期銀河戦 Eブロック 10回戦
4,20190424,藤井聡太,Win,先,髙見泰地,第32期竜王戦 ４組 ランキング戦 準決勝
5,20190509,藤井聡太,Win,後,北浜健介,第69期王将戦 一次予選 4回戦
6,20190515,藤井聡太,Win,先,牧野光則,第45期棋王戦 予選 4回戦
7,20190523,藤井聡太,Lose,後,豊島将之,第27期銀河戦 Eブロック 11回戦
8,20190528,藤井聡太,Lose,後,都成竜馬,第45期棋王戦 予選 決勝
9,20190531,藤井聡太,Win,後,菅井竜也,第32期竜王戦 ４組 ランキング戦 決勝
10,20190603,藤井聡太,Lose,後,佐々木大地,第67期王座戦 本戦 1回戦
11,20190611,藤井聡太,Win,後,東和男,第91期棋聖戦 一次予選 2回戦
12,20190611,藤井聡太,Win,先,伊奈祐介,第91期棋聖戦 一次予選 3回戦
13,20190618,藤井聡太,Win,後,村田顕弘,第78期順位戦 Ｃ級１組 1回戦
14,20190622,藤井聡太,Win,先,千田翔太,第69期王将戦 一次予選 決勝
15,20190628,藤井聡太,Win,後,近藤誠也,第32期竜王戦 本戦 2回戦
16,20190702,藤井聡太,Win,先,堀口一史座,第78期順位戦 Ｃ級１組 2回戦
17,20190705,藤井聡太,Win,後,久保利明,第32期竜王戦 本戦 3回戦
18,20190709,藤井聡太,Lose,先,久保利明,第27期銀河戦 決勝T 1回戦
19,20190718,藤井聡太,Win,先,佐藤康光,第69期王将戦 二次予選 1回戦
20,20190723,藤井聡太,Lose,先,豊島将之,第32期竜王戦 本戦 準々決勝
21,20190806,藤井聡太,Win,後,金井恒太,第78期順位戦 Ｃ級１組 3回戦
22,20190811,藤井聡太,Win,後,阪口悟,第69回NHK杯戦 本戦 1回戦
23,20190811,藤井聡太,Lose,先,三浦弘行,第40回日本シリーズ 本戦 1回戦
24,20190822,藤井聡太,Win,後,竹内雄悟,第91期棋聖戦 一次予選 決勝
25,20190825,藤井聡太,Lose,後,久保利明,第69回NHK杯戦 本戦 2回戦
26,20190826,藤井聡太,Win,先,中村太地,第69期王将戦 二次予選 2回戦
27,20190829,藤井聡太,Lose,後,村山慈明,第5期叡王戦 七段戦 2回戦
28,20190901,藤井聡太,Win,先,谷川浩司,第69期王将戦 二次予選 決勝
29,20190903,藤井聡太,Win,後,高橋道雄,第78期順位戦 Ｃ級１組 4回戦
30,20190925,藤井聡太,Win,後,竹内雄悟,第61期王位戦 予選 2回戦
